No,Temuan,Severity,Confidence,OWASP,CWE
73,Server Version Disclosure,low,98%,A05:2021,CWE-200
74,Missing Security Headers,medium,99%,A05:2021,CWE-693
75,Critical Security Headers Missing,high,99%,A05:2021,CWE-693
76,Server Version Disclosure,low,98%,A05:2021,CWE-200
77,Missing Security Headers,medium,99%,A05:2021,CWE-693
78,Critical Security Headers Missing,high,99%,A05:2021,CWE-693
79,Server Version Disclosure,low,98%,A05:2021,CWE-200
80,Missing Security Headers,medium,99%,A05:2021,CWE-693
81,Critical Security Headers Missing,high,99%,A05:2021,CWE-693
82,Server Version Disclosure,low,98%,A05:2021,CWE-200
83,Missing Security Headers,medium,99%,A05:2021,CWE-693
84,Critical Security Headers Missing,high,99%,A05:2021,CWE-693
85,Server Version Disclosure,low,98%,A05:2021,CWE-200
86,Missing Security Headers,medium,99%,A05:2021,CWE-693
87,Critical Security Headers Missing,high,99%,A05:2021,CWE-693
88,Server Version Disclosure,low,98%,A05:2021,CWE-200
89,Missing Security Headers,medium,99%,A05:2021,CWE-693
90,Critical Security Headers Missing,high,99%,A05:2021,CWE-693
91,Server Version Disclosure,low,98%,A05:2021,CWE-200
92,Missing Security Headers,medium,99%,A05:2021,CWE-693
93,Critical Security Headers Missing,high,99%,A05:2021,CWE-693
94,Server Version Disclosure,low,98%,A05:2021,CWE-200
95,Missing Security Headers,medium,99%,A05:2021,CWE-693
96,Critical Security Headers Missing,high,99%,A05:2021,CWE-693
97,Server Version Disclosure,low,98%,A05:2021,CWE-200
98,Missing Security Headers,medium,99%,A05:2021,CWE-693
99,Critical Security Headers Missing,high,99%,A05:2021,CWE-693
100,Server Version Disclosure,low,98%,A05:2021,CWE-200
101,Missing Security Headers,medium,99%,A05:2021,CWE-693
102,Critical Security Headers Missing,high,99%,A05:2021,CWE-693
103,Server Version Disclosure,low,98%,A05:2021,CWE-200
104,Missing Security Headers,medium,99%,A05:2021,CWE-693
105,Critical Security Headers Missing,high,99%,A05:2021,CWE-693
106,Server Version Disclosure,low,98%,A05:2021,CWE-200
107,Missing Security Headers,medium,99%,A05:2021,CWE-693
108,Critical Security Headers Missing,high,99%,A05:2021,CWE-693
109,Server Version Disclosure,low,98%,A05:2021,CWE-200
110,Missing Security Headers,medium,99%,A05:2021,CWE-693
111,Critical Security Headers Missing,high,99%,A05:2021,CWE-693
112,Server Version Disclosure,low,98%,A05:2021,CWE-200
113,Missing Security Headers,medium,99%,A05:2021,CWE-693
114,Critical Security Headers Missing,high,99%,A05:2021,CWE-693
115,Server Version Disclosure,low,98%,A05:2021,CWE-200
116,Missing Security Headers,medium,99%,A05:2021,CWE-693
117,Critical Security Headers Missing,high,99%,A05:2021,CWE-693
118,Server Version Disclosure,low,98%,A05:2021,CWE-200
119,Missing Security Headers,medium,99%,A05:2021,CWE-693
120,Critical Security Headers Missing,high,99%,A05:2021,CWE-693
121,Server Version Disclosure,low,98%,A05:2021,CWE-200
122,Missing Security Headers,medium,99%,A05:2021,CWE-693
123,Critical Security Headers Missing,high,99%,A05:2021,CWE-693
124,Server Version Disclosure,low,98%,A05:2021,CWE-200
125,Missing Security Headers,medium,99%,A05:2021,CWE-693
126,Critical Security Headers Missing,high,99%,A05:2021,CWE-693
127,Server Version Disclosure,low,98%,A05:2021,CWE-200
128,Missing Security Headers,medium,99%,A05:2021,CWE-693
129,Critical Security Headers Missing,high,99%,A05:2021,CWE-693
130,Server Version Disclosure,low,98%,A05:2021,CWE-200
