status_code,response_time,response_length,header_count,cookie_count,redirect_count,framework_encoded,server_encoded,authentication,param_count,form_count,endpoint_count,depth,has_password_field,has_file_upload,has_search_form,label
500,565,2939,9,1,0,3,3,1,2,1,3,3,0,0,0,Information
422,1291,4113,4,0,0,4,3,0,7,2,14,3,1,0,0,Input Validation
200,651,3569,4,3,0,3,1,1,4,2,8,1,1,0,0,Authentication
200,725,6088,2,2,0,2,3,1,1,0,7,4,1,0,0,Information
200,91,695,4,0,1,4,2,0,0,0,3,0,0,0,0,Header
403,125,4860,6,2,2,3,2,1,1,1,5,1,1,0,0,Authentication
200,997,5688,5,4,2,0,2,0,4,1,7,1,0,0,0,Configuration
400,850,1153,5,0,0,4,1,0,7,1,9,2,0,1,0,Input Validation
200,194,1545,3,1,1,4,0,0,0,0,2,1,0,0,0,Header
200,1374,9447,5,3,2,2,0,1,5,2,10,1,0,0,1,Configuration
200,1343,3909,3,0,0,0,2,0,4,1,13,2,0,0,1,Input Validation
200,983,233,3,3,0,4,0,0,4,1,11,3,0,1,0,Configuration
200,76,1356,1,1,0,0,0,0,0,0,2,1,0,0,0,Header
200,1020,1453,9,3,0,1,3,1,1,1,18,3,1,0,0,Configuration
400,551,7202,2,0,0,4,3,0,3,0,13,2,0,1,1,Configuration
500,549,209,3,2,0,4,0,0,2,2,2,2,1,0,0,Input Validation
302,112,4025,4,2,0,4,0,1,0,2,1,4,1,0,1,Configuration
200,162,1993,3,0,0,4,0,0,0,0,1,1,0,0,0,Header
200,1158,7345,2,0,2,4,0,1,5,0,17,1,1,0,1,Information
200,487,2665,5,3,1,3,0,1,3,1,9,1,1,0,0,Authentication
500,902,4773,4,2,2,3,1,1,1,1,18,2,0,0,1,Authorization
200,1033,9650,5,1,2,0,0,0,3,1,17,1,0,1,1,Configuration
422,152,4500,4,2,0,2,2,0,2,3,8,4,0,0,1,Input Validation
200,213,380,3,1,0,2,0,0,0,0,4,1,0,0,0,Header
400,1476,8056,6,1,1,4,1,0,5,0,5,0,1,1,1,Session
302,1886,7340,3,0,2,0,1,0,5,2,16,4,0,1,1,Configuration
200,1940,1376,5,1,2,1,0,1,5,2,19,2,0,0,1,Information
200,256,2006,3,1,0,4,3,0,0,0,2,0,0,0,0,Header
302,175,4732,2,4,0,3,1,0,0,0,18,3,0,1,1,Configuration
200,797,6838,3,0,0,3,1,1,1,2,13,4,0,0,0,Session
200,552,7267,6,2,2,0,2,1,2,1,8,1,1,0,0,Authentication
200,85,9159,11,0,0,3,2,0,0,0,6,1,0,0,0,Safe
400,623,5660,3,2,1,2,0,1,4,1,4,2,1,0,1,Configuration
200,139,9865,6,2,2,3,0,0,2,0,6,1,1,1,0,Configuration
403,62,5787,4,1,2,4,0,1,0,1,8,2,1,0,0,Authentication
200,417,4227,5,1,0,4,3,0,2,2,13,3,0,0,1,Input Validation
200,296,972,1,1,1,2,0,0,0,0,1,0,0,0,0,Header
302,623,4327,2,4,1,0,1,1,5,2,6,0,0,0,0,Configuration
200,1298,4133,7,4,2,2,1,1,2,2,19,1,1,1,0,Session
200,527,9546,4,3,0,0,0,0,4,2,1,3,1,1,1,Information
400,1241,3053,6,2,0,3,0,1,5,3,14,4,0,0,0,Input Validation
400,194,2874,4,1,0,2,2,0,5,3,11,4,1,1,1,Input Validation
200,462,2643,3,0,0,1,0,0,5,3,13,4,1,1,1,Input Validation
200,156,703,3,1,0,2,0,0,0,0,2,1,0,0,0,Header
400,1480,1892,7,4,0,1,1,1,5,2,1,2,1,0,0,Information
500,1210,8493,5,0,0,1,0,0,3,0,11,1,0,1,0,Configuration
200,280,1302,2,1,0,3,1,0,0,0,1,1,0,0,0,Header
500,112,4857,3,3,1,4,0,0,0,0,17,3,1,1,1,Configuration
200,426,1992,6,1,0,2,2,1,4,2,14,1,0,0,1,Input Validation
400,67,868,7,2,2,1,1,1,3,0,18,2,0,1,0,Information
400,849,4973,3,2,1,1,3,0,3,1,7,4,1,0,0,Configuration
400,1840,8619,7,0,2,4,2,0,0,2,8,1,0,1,1,Configuration
301,194,281,1,1,0,1,2,0,0,0,2,0,0,0,0,Header
301,141,1014,4,0,1,1,1,0,0,0,1,0,0,0,0,Header
400,795,1509,4,3,0,4,1,1,5,0,2,4,1,0,1,Session
200,100,16017,10,1,0,0,1,0,0,0,3,0,0,0,0,Safe
302,286,1404,8,0,1,2,1,1,1,1,13,1,0,0,0,Configuration
500,91,5575,2,1,0,4,0,1,1,2,10,4,0,0,0,Information
302,317,6236,6,1,0,0,1,0,3,1,14,1,1,1,0,Information
500,1365,5590,3,4,0,2,3,0,3,0,7,2,1,1,0,Authorization
301,98,1412,2,1,0,3,2,0,0,0,3,1,0,0,0,Header
200,414,6622,4,1,1,1,0,1,0,1,8,1,1,0,0,Authentication
400,141,4320,4,2,0,1,0,1,5,3,7,2,1,0,0,Input Validation
403,66,829,3,3,0,3,1,1,2,2,5,1,1,0,0,Authentication
200,227,1323,1,1,0,3,2,0,0,0,3,1,0,0,0,Header
302,337,5373,3,3,1,4,1,1,1,1,5,3,1,0,0,Authentication
302,876,1600,3,3,2,2,1,0,1,2,17,2,1,1,0,Configuration
302,232,7626,6,3,2,0,3,1,4,2,9,1,1,0,0,Authentication
500,1499,9423,7,1,2,2,1,1,5,2,13,4,1,1,1,Session
301,58,1057,1,0,1,4,3,0,0,0,1,1,0,0,0,Header
200,315,7169,2,3,0,0,1,0,2,0,14,1,1,1,1,Information
200,998,8273,8,0,2,0,0,1,3,2,5,4,0,0,1,Session
400,1425,3615,4,1,0,4,1,0,5,3,9,4,0,0,1,Input Validation
500,1439,7374,3,0,1,0,0,1,2,1,5,4,1,0,0,Session
400,1093,2013,2,4,2,1,2,1,1,1,17,2,1,0,1,Information
500,1162,4775,7,4,1,2,0,1,2,2,9,2,0,1,1,Session
200,586,7928,5,3,1,3,2,1,2,1,2,2,1,0,0,Authentication
200,47,13380,9,1,0,4,3,0,0,0,6,0,0,0,0,Safe
400,1641,6283,4,4,0,0,1,1,2,0,16,0,0,0,0,Information
200,220,2569,4,0,0,2,0,0,0,0,2,0,0,0,0,Header
401,443,3219,5,1,1,1,3,1,1,2,7,2,1,0,0,Authentication
400,1186,2164,9,1,0,2,3,1,2,1,7,1,0,1,1,Configuration
403,384,9537,6,4,1,3,3,1,3,1,4,2,1,0,1,Configuration
302,754,521,4,3,1,1,1,1,4,2,4,3,1,0,0,Authentication
500,509,5226,6,2,0,2,2,1,1,1,14,1,0,1,0,Authorization
401,320,1386,7,1,2,3,3,1,1,1,4,2,1,0,0,Authentication
400,898,1088,6,4,2,3,1,0,0,0,3,2,0,1,1,Authorization
200,192,1955,1,0,1,3,1,0,0,0,3,1,0,0,0,Header
422,529,1184,2,0,0,4,3,0,4,2,3,4,0,0,0,Input Validation
500,1609,4573,4,3,1,0,1,1,0,1,12,3,1,0,1,Authorization
403,1904,5209,6,4,1,2,3,0,0,0,18,1,1,0,0,Configuration
200,246,2948,4,1,0,2,1,0,0,0,3,1,0,0,0,Header
403,938,3217,9,3,0,1,3,1,1,0,2,0,0,0,0,Authorization
401,715,1417,4,2,2,1,1,1,1,2,2,2,1,0,0,Authentication
200,1945,6190,6,2,2,0,1,0,0,1,12,1,1,1,1,Authorization
400,432,558,5,3,1,1,1,1,2,2,9,3,1,1,0,Configuration
200,41,1660,1,0,1,2,2,0,0,0,2,1,0,0,0,Header
301,212,2435,3,1,1,1,2,0,0,0,2,0,0,0,0,Header
304,150,14525,10,0,0,4,0,0,0,0,6,2,0,0,0,Safe
403,1890,7105,6,1,0,3,0,1,3,1,18,0,0,1,0,Authorization
400,677,2582,3,1,0,1,2,0,3,2,14,4,0,0,1,Input Validation
200,37,2247,4,1,0,1,3,0,0,0,2,1,0,0,0,Header
500,1104,4848,5,0,0,0,3,1,7,1,12,1,0,1,1,Input Validation
500,1522,5643,5,3,0,2,1,0,5,1,16,1,0,1,1,Information
200,182,5995,4,3,0,0,3,1,3,0,11,4,0,0,1,Information
400,255,1590,5,2,0,4,3,1,7,2,10,3,0,1,1,Input Validation
200,247,3032,7,3,0,0,0,1,2,2,4,1,1,0,0,Authentication
500,225,4265,2,1,0,4,0,0,4,2,8,4,1,1,0,Input Validation
200,385,2469,4,3,1,4,0,1,4,2,6,1,1,0,0,Authentication
200,74,5738,9,0,0,1,1,0,0,0,2,1,0,0,0,Safe
200,637,1086,9,0,1,3,0,0,2,2,16,4,1,0,0,Session
302,753,1074,3,1,0,0,3,1,4,1,5,1,1,0,0,Authentication
400,1397,3273,7,3,1,2,1,1,1,0,9,2,0,0,0,Configuration
200,774,3826,2,3,1,4,2,1,4,0,1,0,1,0,0,Authorization
302,1340,7110,9,1,1,0,2,0,1,1,6,3,0,0,1,Configuration
200,353,3864,6,3,2,1,3,1,2,1,5,3,1,0,0,Authentication
400,1240,914,4,2,0,3,0,0,7,3,3,2,0,1,1,Input Validation
500,850,305,5,1,0,1,1,0,6,2,10,2,0,0,0,Input Validation
500,208,3754,8,0,1,4,1,1,3,1,7,0,1,1,0,Information
301,147,1400,2,1,0,1,0,0,0,0,3,1,0,0,0,Header
200,1710,6395,9,0,1,2,0,1,1,2,4,3,0,1,0,Authorization
302,488,6885,7,3,0,2,3,1,1,1,7,1,1,0,0,Authentication
200,704,2966,6,3,2,1,0,1,4,1,9,2,1,0,0,Authentication
400,312,9869,7,4,2,0,0,0,3,1,19,3,1,1,1,Authorization
500,1055,7943,4,0,0,2,1,0,3,0,17,3,1,1,0,Information
302,279,2235,4,3,1,3,0,1,1,1,6,2,1,0,0,Authentication
200,663,1732,5,2,2,3,3,1,3,2,4,1,1,0,0,Authentication
200,360,307,3,0,2,3,0,1,3,2,16,4,0,1,0,Authorization
500,1945,8655,2,0,1,4,3,1,5,1,8,0,0,1,1,Authorization
200,171,580,3,1,0,1,0,0,0,0,1,1,0,0,0,Header
200,94,5799,13,0,0,1,3,0,0,0,2,2,0,0,0,Safe
400,192,4537,5,4,1,3,2,0,1,1,18,4,0,1,1,Authorization
400,1190,4119,5,1,0,0,2,0,4,2,12,2,0,1,1,Input Validation
200,44,9484,12,1,0,0,3,0,0,0,7,1,0,0,0,Safe
500,1509,2630,2,0,0,4,1,1,4,1,4,0,0,1,0,Authorization
422,191,3924,5,1,0,4,3,0,7,1,12,2,1,1,0,Input Validation
400,1590,6588,3,2,1,4,2,1,0,2,19,0,0,0,0,Authorization
200,292,499,4,0,1,3,2,0,0,0,4,0,0,0,0,Header
403,869,3392,5,3,1,1,2,0,3,2,3,2,1,1,1,Configuration
500,647,3816,7,1,1,2,0,1,5,2,10,1,1,0,0,Authorization
500,291,7480,6,1,0,4,3,1,0,2,17,3,0,0,0,Authorization
500,1867,5927,3,3,1,2,0,0,3,0,6,1,0,1,0,Information
200,1193,492,2,0,1,3,3,0,0,1,18,1,1,1,1,Authorization
500,901,975,4,1,0,0,2,0,5,3,9,1,0,0,1,Input Validation
200,27,5440,8,0,0,2,0,0,0,0,5,2,0,0,0,Safe
200,694,647,7,2,2,3,2,1,3,1,3,3,1,0,0,Authentication
200,290,872,2,1,1,1,1,0,0,0,3,1,0,0,0,Header
400,459,2576,3,2,0,1,2,0,5,2,5,2,0,0,0,Input Validation
200,469,2396,5,2,0,1,1,0,6,3,13,2,0,1,0,Input Validation
302,714,5083,5,2,1,0,1,1,3,2,4,1,1,0,0,Authentication
200,142,2269,4,1,0,0,3,0,0,0,1,0,0,0,0,Header
500,1071,401,9,3,2,2,0,1,3,0,13,1,1,0,0,Configuration
301,124,1586,3,0,1,3,0,0,0,0,2,0,0,0,0,Header
200,32,802,2,0,0,4,1,0,0,0,3,1,0,0,0,Header
200,140,2283,2,1,1,0,3,0,0,0,1,0,0,0,0,Header
200,83,12254,8,1,0,4,3,0,0,0,6,2,0,0,0,Safe
302,986,2259,6,0,1,1,1,1,5,0,14,0,1,0,0,Session
200,252,1114,2,1,0,4,1,0,0,0,4,0,0,0,0,Header
400,635,1213,4,1,0,4,1,0,7,3,6,2,1,1,1,Input Validation
500,1093,2663,6,2,0,1,2,1,3,1,2,1,0,0,1,Authorization
200,1392,6097,4,4,1,1,1,0,3,2,16,4,1,1,0,Information
200,145,1236,3,1,0,2,0,0,0,0,4,1,0,0,0,Header
200,289,759,4,0,0,3,2,0,0,0,3,0,0,0,0,Header
200,80,8829,9,0,0,4,2,0,0,0,1,1,0,0,0,Safe
500,759,4020,4,4,2,4,2,1,2,1,19,4,0,1,0,Information
500,803,2603,3,1,0,1,2,0,2,2,10,2,1,1,1,Input Validation
403,1737,6968,7,3,1,3,2,0,3,1,10,1,0,0,1,Authorization
200,745,6238,6,2,1,2,0,1,4,2,2,1,1,0,0,Authentication
200,189,1271,4,0,1,4,1,0,0,0,2,1,0,0,0,Header
200,194,2461,1,1,0,2,2,0,0,0,2,0,0,0,0,Header
400,420,6076,6,3,0,4,0,0,1,0,4,1,0,0,1,Session
200,1737,672,3,3,1,2,0,0,5,0,17,1,1,1,1,Session
302,902,1637,7,0,1,1,1,1,2,0,7,3,1,0,1,Information
200,660,2227,5,3,0,4,3,1,1,1,4,2,1,0,0,Authentication
200,261,2360,3,1,1,3,1,0,0,0,3,0,0,0,0,Header
422,1149,4742,3,0,0,2,3,1,2,2,5,3,1,0,1,Input Validation
200,808,4602,4,1,0,3,3,0,5,1,6,4,0,0,0,Input Validation
302,603,7071,5,3,1,2,0,0,2,1,11,0,1,0,0,Authorization
500,977,787,4,4,1,2,3,0,3,2,14,0,0,0,0,Authorization
500,1235,1383,5,1,2,2,2,1,2,0,3,0,1,0,1,Authorization
500,276,364,5,1,1,2,3,1,0,2,2,3,1,0,0,Information
400,637,9277,9,4,1,0,0,0,3,1,9,2,0,1,1,Configuration
200,886,6863,4,2,2,0,3,0,1,1,3,3,0,0,1,Session
403,50,5163,8,2,1,0,2,1,4,2,14,3,1,1,1,Information
200,1940,1887,6,1,2,0,1,0,2,2,2,3,0,1,1,Configuration
400,645,8572,9,1,1,0,2,1,2,2,10,2,0,1,1,Configuration
200,92,11502,11,0,0,0,3,0,0,0,3,2,0,0,0,Safe
200,775,2712,2,0,0,3,0,1,4,1,4,1,0,1,1,Input Validation
400,117,1087,9,1,0,4,1,1,0,2,16,4,1,0,1,Session
302,625,5089,4,1,2,4,0,1,3,1,3,1,1,0,0,Authentication
200,64,1076,2,1,1,0,3,0,0,0,1,0,0,0,0,Header
200,273,726,2,2,0,1,3,0,7,1,4,2,1,0,0,Input Validation
200,57,871,2,1,0,2,1,0,0,0,4,1,0,0,0,Header
400,1000,9402,7,0,1,0,0,1,5,1,8,2,1,1,0,Configuration
500,966,341,4,0,0,3,3,0,6,1,7,1,1,0,1,Input Validation
403,941,4797,8,4,0,0,3,1,1,2,9,0,1,0,0,Information
500,868,282,2,4,2,2,2,0,5,0,1,3,0,1,1,Session
500,1182,6688,9,0,0,1,2,1,1,0,8,0,0,1,0,Information
301,206,1810,4,1,1,1,3,0,0,0,2,0,0,0,0,Header
200,511,1135,5,0,0,0,3,1,4,3,10,3,1,0,0,Input Validation
200,295,1009,2,0,1,0,0,0,0,0,3,1,0,0,0,Header
400,678,1728,7,2,1,1,0,0,5,2,11,0,0,0,0,Authorization
200,98,1650,3,3,0,3,0,1,2,2,4,3,1,0,0,Authentication
302,683,5649,6,2,2,2,3,1,3,1,9,3,1,0,0,Authentication
401,721,2541,5,1,1,3,3,1,0,2,7,2,1,0,0,Authentication
500,56,3367,6,0,0,3,2,0,1,1,3,2,0,0,0,Authorization
200,675,1129,5,1,0,0,2,1,2,1,3,1,1,1,1,Input Validation
422,1278,4658,4,1,0,2,1,1,4,1,6,2,1,0,1,Input Validation
403,84,3658,6,2,0,0,0,1,4,1,4,1,1,0,0,Authentication
403,1142,3336,2,0,0,1,0,1,4,2,19,2,1,1,1,Configuration
200,50,399,3,0,1,2,0,0,0,0,4,0,0,0,0,Header
400,958,9426,3,2,2,4,0,0,3,1,8,0,1,1,0,Authorization
500,569,1407,6,0,0,3,1,0,2,0,2,2,1,0,0,Authorization
500,1831,6638,8,3,0,0,3,1,0,1,12,0,0,0,1,Information
200,115,13369,14,0,0,1,3,0,0,0,6,2,0,0,0,Safe
400,764,2908,4,1,0,2,0,1,2,1,19,3,0,0,0,Authorization
200,1913,215,6,0,0,0,0,1,2,2,6,2,0,0,0,Authorization
200,133,3920,13,0,0,2,1,0,0,0,2,1,0,0,0,Safe
200,233,2341,1,1,0,0,1,0,0,0,3,0,0,0,0,Header
200,132,12090,13,0,0,2,0,0,0,0,4,0,0,0,0,Safe
200,170,1867,4,0,1,0,2,0,0,0,1,1,0,0,0,Header
200,52,901,2,1,1,3,1,0,0,0,3,1,0,0,0,Header
400,959,287,6,4,1,4,0,0,2,1,16,1,1,0,0,Configuration
403,1729,7455,3,1,1,4,3,0,3,1,7,2,1,0,1,Information
400,1703,2880,8,4,2,0,0,0,5,0,13,4,0,0,0,Authorization
200,212,2691,2,1,1,3,3,0,0,0,2,1,0,0,0,Header
200,207,2559,2,1,0,3,0,0,0,0,3,0,0,0,0,Header
200,277,453,3,0,0,3,0,0,0,0,3,0,0,0,0,Header
302,203,2309,3,3,1,0,1,1,4,2,9,1,1,0,0,Authentication
200,126,6293,11,1,0,3,1,0,0,0,7,2,0,0,0,Safe
422,723,3692,2,1,0,1,0,0,5,3,10,4,0,1,0,Input Validation
500,284,9220,9,3,2,0,3,0,0,1,9,4,1,0,0,Authorization
200,130,1625,4,0,1,0,2,0,0,0,3,1,0,0,0,Header
400,1309,5068,5,0,0,1,0,0,3,2,2,0,0,1,0,Authorization
200,129,2768,3,0,0,1,0,0,0,0,4,1,0,0,0,Header
200,57,2473,4,1,0,3,3,0,0,0,2,1,0,0,0,Header
500,1325,334,4,4,0,0,1,1,1,0,12,4,1,1,0,Session
302,1922,7111,7,1,2,0,2,0,5,0,12,3,1,0,0,Configuration
302,1261,4023,8,3,2,0,3,1,1,2,10,2,0,1,0,Information
500,714,8324,8,1,2,3,0,1,3,2,4,4,0,1,0,Authorization
200,293,324,3,0,1,4,1,0,0,0,3,1,0,0,0,Header
500,538,2304,3,1,0,3,2,1,1,1,8,0,0,0,1,Information
200,162,17161,8,0,0,2,1,0,0,0,4,2,0,0,0,Safe
302,1098,7568,4,2,0,4,3,1,3,2,11,2,0,0,0,Authorization
403,1642,2706,8,0,1,1,1,0,1,0,9,2,1,1,0,Information
200,34,19667,12,1,0,4,1,0,0,0,5,1,0,0,0,Safe
302,1663,2032,8,2,1,4,3,1,4,2,12,0,0,1,0,Configuration
301,185,1705,1,1,1,2,3,0,0,0,4,1,0,0,0,Header
301,168,456,1,1,0,1,1,0,0,0,2,1,0,0,0,Header
500,1644,1396,4,2,0,1,1,0,4,1,8,3,0,1,0,Information
400,853,285,5,0,0,4,1,1,6,2,12,1,1,1,1,Input Validation
400,839,4544,4,3,0,4,1,1,0,1,2,2,0,1,0,Authorization
200,146,1729,3,0,0,2,1,0,0,0,2,0,0,0,0,Header
200,210,1205,4,0,1,0,1,0,0,0,2,0,0,0,0,Header
200,78,9756,8,0,0,1,0,0,0,0,1,1,0,0,0,Safe
500,782,7523,4,2,0,2,3,1,2,2,13,3,0,0,0,Information
200,168,5057,11,0,0,1,3,0,0,0,7,1,0,0,0,Safe
500,1977,6796,9,2,2,3,1,0,2,1,15,2,0,0,0,Authorization
401,238,7831,4,1,1,3,2,1,1,1,1,3,1,0,0,Authentication
200,630,5458,7,2,0,0,0,1,0,2,6,2,1,0,0,Authentication
403,440,6234,7,1,2,2,1,1,3,2,6,3,1,0,0,Authentication
200,59,2849,1,0,1,2,2,0,0,0,2,0,0,0,0,Header
400,1120,3911,8,4,1,4,3,0,2,2,10,1,1,0,1,Configuration
200,168,109,2,0,0,3,3,0,0,0,4,0,0,0,0,Header
200,131,2900,1,0,0,2,3,0,0,0,1,0,0,0,0,Header
200,1219,3694,4,1,0,0,2,0,3,3,14,2,0,0,1,Input Validation
500,122,5360,7,3,0,2,0,0,0,2,13,0,0,0,1,Information
403,1987,8660,4,2,2,1,0,1,1,0,4,2,0,0,1,Authorization
422,438,2440,6,2,0,4,3,1,7,3,4,4,1,0,0,Input Validation
403,1168,551,5,1,1,2,0,0,5,2,3,1,1,0,0,Information
403,513,7391,2,0,1,4,2,0,2,0,6,0,0,0,1,Session
200,1182,3304,3,0,0,2,1,0,4,2,8,4,0,0,1,Input Validation
200,43,2362,3,1,1,4,3,0,0,0,4,0,0,0,0,Header
302,410,9707,3,4,1,0,1,1,1,0,9,4,1,1,1,Configuration
200,1327,3854,4,2,0,1,1,0,4,2,13,4,1,1,1,Input Validation
400,718,1618,7,3,2,0,1,1,3,2,3,1,1,0,1,Authorization
200,295,172,1,1,1,0,2,0,0,0,4,0,0,0,0,Header
500,1525,9380,4,1,0,1,0,0,2,1,19,4,0,1,1,Session
200,333,4496,5,0,0,3,2,0,1,0,13,1,1,1,1,Session
200,133,18702,13,1,0,2,3,0,0,0,3,0,0,0,0,Safe
403,416,3776,4,0,2,1,2,1,3,0,11,0,0,1,1,Information
200,274,250,3,1,1,0,0,0,0,0,2,0,0,0,0,Header
403,252,560,4,3,1,1,0,1,2,2,2,2,1,0,0,Authentication
200,57,4870,11,0,0,4,3,0,0,0,6,2,0,0,0,Safe
200,1064,702,7,2,1,1,0,0,4,1,11,0,0,0,1,Session
500,698,1973,9,2,0,1,0,1,2,2,6,1,1,1,1,Configuration
301,121,162,2,1,0,1,0,0,0,0,1,1,0,0,0,Header
500,924,8103,5,0,2,2,1,1,1,0,1,4,1,0,0,Session
301,271,2602,3,0,0,3,2,0,0,0,3,1,0,0,0,Header
403,189,2430,9,1,2,0,0,0,1,0,13,4,1,1,1,Configuration
302,856,7124,6,4,0,2,0,0,5,0,5,1,0,0,1,Configuration
400,463,7068,8,0,0,4,2,0,5,2,16,4,0,0,1,Information
500,695,4857,7,0,1,0,1,0,1,2,14,1,1,0,1,Information
302,1786,7278,7,2,1,3,3,1,2,0,9,0,1,0,0,Session
200,170,2905,1,1,0,4,3,0,0,0,1,0,0,0,0,Header
200,689,5451,4,1,2,4,0,1,1,1,3,3,1,0,0,Authentication
301,222,1876,2,0,0,0,2,0,0,0,1,0,0,0,0,Header
500,465,9459,2,3,0,0,0,0,5,0,19,3,0,1,0,Session
500,758,4208,6,2,0,2,2,0,7,2,10,4,1,0,1,Input Validation
403,800,6428,9,3,2,3,3,0,0,0,18,1,0,0,1,Authorization
422,734,1969,6,2,0,2,2,1,7,3,8,2,1,0,1,Input Validation
200,136,2243,3,1,0,1,1,0,0,0,4,0,0,0,0,Header
403,1555,6560,9,0,0,1,1,0,4,1,7,1,1,0,0,Configuration
200,58,2718,3,1,0,3,1,0,0,0,1,1,0,0,0,Header
400,1862,9095,3,4,0,1,3,1,4,0,11,2,0,1,0,Information
403,699,3378,9,0,1,1,1,1,2,1,18,0,1,1,1,Authorization
500,1345,4451,6,1,0,4,2,1,7,2,8,1,0,0,1,Input Validation
422,1463,4140,5,0,0,3,3,0,6,3,7,2,0,0,1,Input Validation
500,877,3291,7,1,1,0,3,1,2,2,7,4,1,1,1,Configuration
301,285,1673,4,0,1,3,2,0,0,0,1,0,0,0,0,Header
500,507,1574,6,2,2,4,0,0,2,2,19,2,1,0,1,Information
200,195,2609,4,1,0,3,3,0,0,0,3,0,0,0,0,Header
200,614,3396,3,2,0,0,3,0,6,3,4,3,1,1,0,Input Validation
403,1121,2358,8,2,1,1,2,1,4,2,5,2,0,1,1,Configuration
301,195,2044,2,0,1,2,0,0,0,0,2,0,0,0,0,Header
200,104,2424,4,0,0,0,2,0,0,0,3,0,0,0,0,Header
200,93,2986,4,0,0,3,1,0,0,0,2,1,0,0,0,Header
301,171,533,4,0,0,2,2,0,0,0,3,1,0,0,0,Header
500,265,2890,5,1,0,4,0,1,6,1,7,2,1,1,1,Input Validation
200,179,2807,4,0,1,1,1,0,0,0,1,1,0,0,0,Header
400,568,1075,6,2,2,2,0,0,0,2,19,3,0,1,0,Session
200,1337,1330,8,4,1,3,3,0,4,2,12,0,0,1,1,Session
200,30,15957,9,0,0,3,1,0,0,0,2,2,0,0,0,Safe
200,1005,4859,6,2,0,4,1,0,5,3,9,3,1,1,1,Input Validation
403,699,4234,5,0,0,4,3,1,4,1,4,1,1,1,0,Authorization
200,41,12405,14,0,0,2,3,0,0,0,6,1,0,0,0,Safe
302,1497,3299,7,2,1,0,0,0,1,0,10,4,1,1,0,Authorization
200,737,629,4,3,0,1,2,0,4,0,9,3,1,0,0,Authorization
400,546,4115,5,1,0,2,3,0,2,3,3,4,0,0,1,Input Validation
500,587,2132,6,0,0,0,0,1,4,1,10,4,1,1,0,Input Validation
422,1195,3092,4,1,0,3,0,1,4,3,14,2,1,1,1,Input Validation
200,55,9521,9,2,1,2,3,0,3,0,5,3,0,0,0,Session
500,811,3658,8,3,0,4,2,1,1,0,13,0,1,1,0,Configuration
500,1346,3229,9,1,2,4,2,1,2,1,15,2,0,0,0,Session
400,1395,1086,3,1,0,1,2,0,7,3,14,4,1,0,1,Input Validation
500,1244,1747,8,0,2,3,2,0,3,1,12,4,0,1,1,Information
